;;;Place;Place;Conference;Conference;Division;Division;Division;Division;Division;Division;All-Star;All-Star;Margin;Margin;Month;Month;Month;Month;Month;Month;Month
Rk;Team;Overall;Home;Road;E;W;A;C;SE;NW;P;SW;Pre;Post;?3;?10;Oct;Nov;Dec;Jan;Feb;Mar;Apr
1;Golden State Warriors;67-15;39-2;28-13;25  May;42-10;9  Jan;7  Mar;9  Jan;15  Mar;13  Mar;14  Apr;42-9;25  Jun;5  Mar;45-9;1-0;13  Feb;11  Mar;12  Mar;8  Mar;16  Feb;6  Feb
2;Atlanta Hawks;60-22;35-6;25-16;38-14;22  Aug;12  Jun;14  Apr;12  Apr;8  Feb;8  Feb;6  Apr;43-11;17  Nov;6  Apr;30  Oct;0-1;9  May;14  Feb;17-0;7  Apr;9  Jul;4  Mar
3;Houston Rockets;56-26;30  Nov;26-15;23  Jul;33-19;9  Jan;8  Feb;6  Apr;15  Mar;10  Aug;8  Aug;36-17;20  Sep;8  Apr;31-14;2-0;11  Apr;9  May;11  Jun;7  Mar;10  Jun;6  Feb
4;Los Angeles Clippers;56-26;30  Nov;26-15;19  Nov;37-15;7  Mar;6  Apr;6  Apr;15  Mar;12  Apr;10  Aug;35-19;21  Jul;3  May;33-9;2-0;9  May;11  Jun;11  Apr;5  Jun;11  May;7-0
5;Memphis Grizzlies;55-27;31  Oct;24-17;20  Oct;35-17;8  Feb;5  May;7  Mar;13  May;13  May;9  Jul;39-14;16-13;9  Mar;26-13;2-0;13  Feb;8  Jun;12  Apr;7  Apr;9  Aug;4  Mar
6;San Antonio Spurs;55-27;33-8;22-19;23  Jul;32-20;7  Mar;7  Mar;9  Jan;12  Jun;12  Jun;8  Aug;34-19;21  Aug;6  Jul;34-7;1  Jan;11  Mar;8  Oct;10  Apr;6  May;12  Mar;7  Jan
7;Cleveland Cavaliers;53-29;31  Oct;22-19;35-17;18  Dec;12  Jun;11  May;12  Jun;6  Apr;7  Mar;5  May;33-22;20  Jul;6  Apr;30-14;1  Jan;7  Jun;10  Jul;11  Jun;8  Mar;11  Apr;5  Feb
8;Portland Trail Blazers;51-31;32-9;19-22;20  Oct;31-21;8  Feb;7  Mar;5  May;11  May;10  Aug;10  Aug;36-17;15-14;5  Jan;30  Nov;1  Jan;12  Mar;13  Mar;6  Sep;6  Mar;10  Jun;3  Jun
9;Chicago Bulls;50-32;27-14;23-18;33-19;17-13;16  Feb;8  Aug;9  Sep;6  Apr;5  May;6  Apr;34-20;16  Dec;7  Feb;20-16;1  Jan;10  May;11  Apr;8  Sep;7  Mar;8  Jul;5  Mar
10;Dallas Mavericks;50-32;27-14;23-18;21  Sep;29-23;9  Jan;5  May;7  Mar;13  May;9  Sep;7  Sep;36-19;14-13;5  Apr;22-18;1  Jan;12  Apr;10  May;9  Jul;7  May;6  Jul;5  Mar
11;Toronto Raptors;49-33;27-14;22-19;33-19;16-14;11  May;8  Oct;14  Apr;7  Mar;6  Apr;3  Jul;36-17;13-16;6  May;29  Nov;1-0;12  Apr;11  Apr;9  Jul;4  Jul;7  Aug;5  Mar
12;Washington Wizards;46-36;29  Dec;17-24;30-22;16-14;11  Jul;9  Sep;10  Jun;6  Apr;4  Jun;6  Apr;33-21;13-15;9  Apr;21-14;1  Jan;9  Apr;12  Apr;9  Aug;3  Sep;7  Jul;5  Mar
13;New Orleans Pelicans;45-37;28-13;17-24;16-14;29-23;6  Apr;5  May;5  May;10  Aug;11  Jul;8  Aug;27-26;18  Nov;10  Apr;19-14;1-0;6  Aug;9  Aug;9  Jun;6  May;8  Jul;6  Mar
14;Oklahoma City Thunder;45-37;29  Dec;16-25;20  Oct;25-27;6  Apr;5  May;9  Jan;10  Jun;11  Jul;Apr 14;28-25;17  Dec;4  Aug;26-14;0-2;5  Oct;11  May;7  Jul;9  Mar;10  May;3  May
15;Milwaukee Bucks;41-41;23-18;18-23;30-22;Nov 19;14  Apr;7  Sep;9  Sep;5  May;5  May;1  Sep;30-23;Nov 18;5  Sep;17-16;1  Jan;9  Jul;7  Aug;8  Jun;7  May;4  Nov;5  Mar
16;Boston Celtics;40-42;21-20;19-22;28-24;Dec 18;12  Apr;9  Sep;7  Nov;6  Apr;3  Jul;3  Jul;20-31;20  Nov;8  Jun;17-14;1-0;3  Oct;7  Aug;5  Nov;7  Apr;10  Aug;7  Jan
17;Phoenix Suns;39-43;22-19;17-24;18  Dec;21-31;8  Feb;6  Apr;4  Jun;9  Sep;6  Oct;6  Dec;29-25;Oct 18;4  Dec;14-19;2-0;8  Aug;8  Aug;10  May;3  Aug;7  Aug;1  Jun
18;Brooklyn Nets;38-44;19-22;19-22;24-28;14-16;10  Jun;7  Nov;7  Nov;6  Apr;6  Apr;2  Aug;21-31;17-13;10  Feb;15-23;0-1;6  Aug;9  Jul;3  Dec;6  May;9  Jul;5  Apr
19;Indiana Pacers;38-44;23-18;15-26;28-24;Oct 20;9  Sep;8  Aug;11  Jul;4  Jun;2  Aug;4  Jun;21-33;17  Nov;4  Dec;19-20;1  Jan;6  Sep;5  Nov;5  Nov;7  Feb;8  Aug;6  Feb
20;Utah Jazz;38-44;21-20;17-24;15-15;23-29;6  Apr;6  Apr;3  Jul;9  Jul;7  Nov;7  Nov;19-34;19  Oct;5  Oct;18-19;0-2;5  Oct;6  Sep;6  Sep;6  May;10  Jun;5  Mar
21;Miami Heat;37-45;20-21;17-24;25-27;Dec 18;14  Apr;May 13;6  Oct;4  Jun;7  Mar;1  Sep;22-30;15-15;4  Oct;15-28;1-0;8  Jul;5  Dec;6  Jul;5  Jul;9  Jul;3  May
22;Charlotte Hornets;33-49;19-22;14-27;25-27;Aug 22;10  Aug;7  Nov;8  Aug;5  May;2  Aug;1  Sep;22-30;Nov 19;6  Aug;13-22;1-0;Mar 14;6  Sep;10  Apr;3  Jun;8  Sep;2  Jul
23;Detroit Pistons;32-50;18-23;14-27;23-29;Sep 21;8  Oct;6  Oct;9  Sep;2  Aug;3  Jul;4  Jun;21-33;Nov 17;7  Jun;19-25;0-2;3  Dec;5  Sep;10  Jul;5  Jun;6  Sep;3  May
24;Denver Nuggets;30-52;19-22;Nov 30;Nov 19;19-33;1  Sep;6  Apr;4  Jun;6  Oct;8  Oct;May 13;20-33;Oct 19;4  Apr;17-28;1-0;7  Aug;5  Nov;6  Oct;1  Sep;8  Aug;2  Jun
25;Sacramento Kings;29-53;18-23;Nov 30;Nov 19;18-34;4  Jun;4  Jun;3  Jul;8  Oct;7  Sep;Mar 15;18-34;Nov 19;6  Apr;Dec 28;1  Jan;8  Jul;4  Nov;4  Oct;3  Jul;6  Nov;3  Jun
26;Orlando Magic;25-57;13-28;Dec 29;15-37;Oct 20;6  Dec;May 13;4  Dec;4  Jun;4  Jun;2  Aug;17-39;Aug 18;6  Aug;Apr 27;0-2;7  Oct;6  Oct;Feb 13;4  Jun;3  Nov;3  May
27;Los Angeles Lakers;21-61;Dec 29;Sep 32;Dec 18;Sep 43;4  Jun;5  May;3  Jul;May 13;Feb 14;Feb 16;13-40;Aug 21;6  Jun;May 30;0-3;4  Oct;6  Sep;3  Dec;3  Jul;4  Dec;1  Aug
28;Philadelphia 76ers;18-64;Dec 29;Jun 35;Dec 40;Jun 24;Feb 14;May 13;May 13;4  Jun;1  Sep;1  Sep;Dec 41;Jun 23;3  Jul;May 41;0-2;0-14;4  Oct;6  Dec;3  Jul;5  Dec;0-7
29;New York Knicks;17-65;Oct 31;Jul 34;Nov 41;Jun 24;5  Nov;Feb 16;Apr 14;2  Aug;2  Aug;2  Aug;Oct 43;Jul 22;2  Jul;Mar 39;1  Jan;Mar 13;Jan 15;4  Sep;3  Aug;Feb 14;3  May
30;Minnesota Timberwolves;16-66;Sep 32;Jul 34;Sep 21;Jul 45;4  Jun;3  Jul;2  Aug;4  Dec;Feb 16;Jan 17;Nov 42;May 24;6  Jun;Apr 40;1  Jan;3  Oct;Jan 14;Mar 14;5  Jun;Mar 13;0-8
